(143270):14g8:[#]{04120609}      | Zooming in ... 
(008000):p6gd:[=@]{04120610}     | You caught a roach and a bream!
(575757):p6gd:[_]{04120610}      | The catch now awaits at your feet to be picked up.
(3C5A98):p6gd:[:]{04120610}      | You are too tired to stay on your feet.
(3C5A98):p6gd:[:]{04120610}      | You pick up the roach.
(3C5A98):p6gd:[:]{04120610}      | You pick up the bream.
(147870):p6gd:[?]{04120610}      | Drink from the natural source?
(3C5A98):p6gd:[:]{04120610}      | You drink some water.
(008000):p6gd:[=]{04120610}      | Your thirst is extinguished.
(3C5A98):p6gd:[:]{0412060F}      | You go on shore.
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(143270):p6gd:[#]{0412060F}      | View what type of items?: Foods
(3C5A98):p6gd:[:]{0412060F}      | You drop the 4 burbots.
(3C5A98):p6gd:[:]{0412060F}      | You drop the roach.
(3C5A98):p6gd:[:]{0412060F}      | You drop the bream.
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(143270):p6gd:[#]{0412060F}      | There are several objects here:
(000000):p6gd:[p]{0412060F}      | poor wooden shovel
(000000):p6gd:[b]{0412060F}      | bark
(000000):p6gd:[h]{0412060F}      | harsh eagle owl leather
(000000):p6gd:[3]{0412060F}      | 31 eagle owl feathers
(000000):p6gd:[h]{0412060F}      | harsh elk leather
(575757):p6gd:[_]{0412060F}      | ...and 12 more.
(000000):p6gd:[Y]{0412060F}      | You hear a creature barking in hunger in the west.
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(143270):p6gd:[#]{0412060F}      | You see a stale roasted bream here.
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(000000):p6gd:[S]{0412060F}      | Small Rig eats roasted bream.
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(143270):p6gd:[#]{0412060F}      | Things that are here:
(000000):p6gd:[r]{0412060F}      | rock
(000000):p6gd:[t]{0412060F}      | tree trunk
(3C5A98):p6gd:[:]{0412060F}      | You crawl.
(143270):p6gd:[#]{0412060F}      | There are several objects here:
(000000):p6gd:[p]{0412060F}      | poor wooden shovel
(000000):p6gd:[b]{0412060F}      | bark
(000000):p6gd:[h]{0412060F}      | harsh eagle owl leather
(000000):p6gd:[3]{0412060F}      | 31 eagle owl feathers
(000000):p6gd:[h]{0412060F}      | harsh elk leather
(575757):p6gd:[_]{0412060F}      | ...and 12 more.
(3C5A98):p6gd:[:]{0412060F}      | You lay down and fall asleep.
(143270):p6gd:[#]{0412060F}      | Zzzz... [HOLD ON]
(3C5A98):q6g0:[:]{0412060F}      | You wake up.
(663333):q6g0:[&]{0412060F}      | You get back on your feet.
(3C5A98):q6g1:[:]{0412060F}      | You are feeling rather warm.
(663333):q6g1:[&]{0412060F}      | You are getting hungry.
(663333):q6g1:[&]{0412060F}      | You are a bit thirsty.
(000000):q6g1:[Y]{0412060F}      | You hear a creature barking in hunger in the south-west.
(143270):q6g1:[#]{0412060F}      | Things that are here:
(000000):q6g1:[4]{0412060F}      | 4 burbots
(000000):q6g1:[r]{0412060F}      | roach
(000000):q6g1:[b]{0412060F}      | bream
(3C5A98):q6g1:[:]{0412060F}      | You pick up the 4 burbots.
(3C5A98):q6g1:[:]{0412060F}      | You pick up the roach.
(3C5A98):q6g1:[:]{0412060F}      | You pick up the bream.
(143270):q6g1:[#]{0412060F}      | View what type of items?: Foods
(3C5A98):q6g1:[:]{0412060F}      | You drop the roach.
(3C5A98):q6g1:[:]{0412060F}      | You drop the bream.
(143270):q6g1:[#]{0412060F}      | Using: SURVIVAL
(143270):q6g1:[#]{0412060F}      | SURVIVAL OPTION: Cut branches/twigs from a tree
(147870):q6g1:[?]{0412060F}      | (1) You need cutting weapon or by hand.
(AB5700):q6g1:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(000000):q6g1:[O]{0412060F}      | Ok, you have all the necessary equipment!
(3C5A98):q6g2:[:]{0412060F}      | You are feeling rather warm.
(000000):q6g2:[Y]{0412060F}      | You hear mallard calling in the north-east.
(000000):q6g2:[Y]{0412060F}      | You finished cutting the branches. They are lying beside you on the ground.
(147870):q6g2:[?]{0412060F}      | Drink from the natural source?
(3C5A98):q6g2:[:]{0412060F}      | You drink some water.
(008000):q6g2:[=]{0412060F}      | Your thirst is extinguished.
(147870):q6g2:[?]{0412060F}      | (1) You need cutting weapon or by hand.
(AB5700):q6g2:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(000000):q6g2:[O]{0412060F}      | Ok, you have all the necessary equipment!
(000000):q6g2:[S]{0412060F}      | Small Rig barks in hunger.
(000000):q6g2:[Y]{0412060F}      | You hear mallard calling in the north-east.
(000000):q6g2:[S]{0412060F}      | Small Rig eats bream.
(000000):q6g2:[Y]{0412060F}      | You finished cutting the branches. They are lying beside you on the ground.
(147870):q6g2:[?]{0412060F}      | (1) You need cutting weapon or by hand.
(AB5700):q6g2:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(000000):q6g2:[O]{0412060F}      | Ok, you have all the necessary equipment!
(000000):q6g2:[Y]{0412060F}      | You hear mallard calling in the north-east.
(000000):q6g2:[Y]{0412060F}      | You finished cutting the branches. They are lying beside you on the ground.
(663333):q6g2:[&]{0412060F}      | You are hungry.
(143270):q6g2:[#]{04120610}      | Using: SURVIVAL
(143270):q6g2:[#]{04120610}      | SURVIVAL OPTION: Build a fire
(000000):q6g2:[Y]{04120610}      | You managed to make a fire.
(143270):q6g2:[#]{04120610}      | Using: COOKERY
(143270):q6g2:[#]{04120610}      | COOKERY OPTIONS: Roast
(147870):q6g2:[?]{04120610}      | (1) You need raw meat or fish.
(AB5700):q6g2:[+]{04120610}      | The 4 burbots in your inventory will be used.
(147870):q6g2:[?]{04120610}      | (2) You need fire.
(000000):q6g2:[O]{04120610}      | Ok, you have all the necessary equipment!
(008000):q6g2:[=]{04120610}      | Ok, you leave 4 roasted burbots to cook and prepare.
(575757):q6g2:[_]{04120610}      | This process should be complete in an hour.
(575757):q6g2:[_]{04120610}      | The roasted burbot will be ready in an hour. You may not pick it up yet.
(000000):q6g2:[Y]{04120610}      | You hear mallard calling in the north-east.
(663333):q6g2:[&]{04120610}      | You are hungry.
(143270):q6g2:[#]{04120610}      | Using: WEATHERLORE
(3C5A98):q6g2:[:]{04120610}      | You smell the air and look up to the sky predicting the weather...
(000000):q6g2:[Y]{04120610}      | You hear mallard calling in the north-east.
(000000):q6g2:[T]{04120610}      | The weather is warm and it's pretty cloudy.
(000000):q6g2:[Y]{04120610}      | You think the weather is getting warmer.
(000000):q6g2:[T]{04120610}      | There's a possibility of rain today.
(000000):q6g2:[L]{04120610}      | Looks like it may start to rain within an hour.
(000000):q6g2:[T]{04120610}      | The fire is about to burn out soon.
(000000):q6g2:[Y]{04120610}      | You hear mallard calling in the north-east.
(000000):q6g2:[T]{04120610}      | The fire is about to burn out soon.
(663333):q6g2:[&]{04120610}      | You are hungry.
(000000):q6g2:[T]{04120610}      | The fire is about to burn out soon.
(3C5A98):q6g3:[:]{04120610}      | You are feeling hot.
(000000):q6g3:[T]{04120610}      | The fire is about to burn out soon.
(663333):q6g3:[&]{04120610}      | You are hungry.
(000000):q6g3:[T]{04120610}      | The fire is about to burn out soon.
(3C5A98):q6g3:[:]{04120610}      | It smells like the roasted burbot is ready.
(3C5A98):q6g3:[:]{04120610}      | You pick up the roasted burbot.
(3C5A98):q6g3:[:]{04120610}      | You pick up the 2 roasted burbots.
(3C5A98):q6g3:[:]{04120610}      | You pick up the roasted burbot.
(143270):q6g3:[#]{0412060F}      | You see an inferior raft here.
(000000):q6g3:[T]{0412060F}      | The fox seems alert. 
(000000):q6g3:[Y]{0412060F}      | You hear something running away in the east.
(143270):q6g3:[#]{0412060F}      | You see a rock here.
(143270):q6g3:[#]{0412060F}      | You see a rock here.
(143270):q6g3:[#]{0412060F}      | Weapon Aspect: Blunt
(143270):q6g3:[#]{0412060F}      | Aiming Zone: Head
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You fail to do more than a sloppy blow and it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | Your clumsy blow is barely an attack and it quickly rushes aside.
(008000):q6g3:[=]{0412060F}      | The fox gains tactical advantage to strike back immediately!
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | Your clumsy blow is barely an attack and it quickly rushes aside.
(008000):q6g3:[=]{0412060F}      | The fox gains tactical advantage to strike back immediately!
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You execute a skilled blow but it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You execute a skilled blow but it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You fail to do more than a sloppy blow and it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You carry out a perfect blow and it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | Your blow glances off of its elbow still hurting it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You fail to do more than a sloppy blow and it makes a late attempt to leap away.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a little bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You fail to do more than a sloppy blow and it quickly rushes aside.
(000000):q6g3:[Y]{0412060F}      | You completely miss it.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a decent bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You carry out a perfect blow.
(000000):q6g3:[Y]{0412060F}      | Your broad axe strikes hard to its shoulder!
(A80000):q6g3:[!]{0412060F}      | It starts to bleed from the shoulder.
(000000):q6g3:[T]{0412060F}      | The fox falls prone.
(3C5A98):q6g3:[:]{0412060F}      | The fox seems to have fallen unconscious.
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a decent bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You carry out a perfect blow.
(000000):q6g3:[Y]{0412060F}      | Your broad axe strikes hard to its skull!
(3C5A98):q6g3:[:]{0412060F}      | The fox seems to have fallen unconscious.
(143270):q6g3:[#]{0412060F}      | Weapon Aspect: Blunt
(143270):q6g3:[#]{0412060F}      | Aiming Zone: Skull
(000000):q6g3:[Y]{0412060F}      | You try to swing the fox with your broad axe.
(143270):q6g3:[#]{0412060F}      | The attack properties of the broad axe add a decent bonus to the success of your attack.
(000000):q6g3:[Y]{0412060F}      | You carry out a perfect blow.
(000000):q6g3:[Y]{0412060F}      | Your broad axe strikes hard to its skull!
(A80000):q6g3:[!]{0412060F}      | It drops dead in an instant!
(000000):q6g3:[@@]{0412060F}     | the fox sighs once, then stays laying dead still.
(143270):q6g3:[#]{0412060F}      | Using: HIDEWORKING
(143270):q6g3:[#]{0412060F}      | Hidework option: Skin an animal
(147870):q6g3:[?]{0412060F}      | (1) You need knife.
(AB5700):q6g3:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(000000):q6g3:[O]{0412060F}      | Ok, you have all the necessary equipment!
(008000):q6g3:[=]{0412060F}      | Ok, you obtained a harsh fox-skin.
(147870):q6g3:[?]{0412060F}      | (1) You need cutting weapon - preferably a knife.
(AB5700):q6g3:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(000000):q6g3:[O]{0412060F}      | Ok, you have all the necessary equipment!
(000000):q6g3:[Y]{0412060F}      | You start to cut the Fox carcass...
(008000):q6g3:[=]{0412060F}      | You got 4 edible cuts of fox meat.
(008000):q6g3:[=]{0412060F}      | You got fox fat.
(143270):q6g3:[#]{0412060F}      | Using: TRAPPING
(143270):q6g3:[#]{0412060F}      | TRAPS: Reset triggered trap
(3C5A98):q6g3:[:@]{0412060F}     | The light lever trap is now set and readied. Don't forget to check it after a day or two.
(143270):q6g3:[#]{0412060F}      | Using: HERBLORE
(000000):q6g3:[Y]{0412060F}      | You do not recognize what the whimsical grass might be.
(663333):q6g3:[&]{0412060F}      | You are hungry.
(000000):q6g3:[I]{0412060F}      | It's very tasty and is devoured with great appetite.
(3C5A98):q6g4:[:]{0412060F}      | You feel warm.
(008000):q6g4:[=]{0412060F}      | Burp! Your stomach is full.
(3C5A98):q6g4:[:]{0412060F}      | You finish eating some of that roasted burbot.
(AB5700):q6g4:[+]{0412060F}      | You gently set the fox cut on the ground as a sacrifice.
(143270):q6g4:[#]{0412060F}      | You feel comfortable.
(143270):q6g4:[#]{0412060F}      | View what type of items?: Foods
(3C5A98):q6g4:[:]{0412060F}      | You drop the 3 fox cuts.
(143270):q6g4:[#]{0412060F}      | There are several objects here:
(000000):q6g4:[p]{0412060F}      | poor wooden shovel
(000000):q6g4:[b]{0412060F}      | bark
(000000):q6g4:[h]{0412060F}      | harsh eagle owl leather
(000000):q6g4:[3]{0412060F}      | 31 eagle owl feathers
(000000):q6g4:[h]{0412060F}      | harsh elk leather
(575757):q6g4:[_]{0412060F}      | ...and 12 more.
(000000):q6g4:[Y]{0412060F}      | You hear mallard calling in the west.
(143270):q6g4:[#]{0412060F}      | Using: HIDEWORKING
(143270):q6g4:[#]{0412060F}      | Hidework option: Clean the skin
(147870):q6g4:[?]{0412060F}      | (1) You need cutting weapon.
(AB5700):q6g4:[+]{0412060F}      | The fine hunting knife in your inventory will be used.
(147870):q6g4:[?]{0412060F}      | (2) You need 0.35 Lbs of water.
(000000):q6g4:[T]{0412060F}      | There is plenty of water nearby.
(000000):q6g4:[O]{0412060F}      | Ok, you have all the necessary equipment!
(143270):q6g4:[#]{0412060F}      | You start to scrape and rinse the skin clean from any remaining flesh and fat.
(AB5700):q6g4:[+]{0412060F}      | You obtained a harsh clean fox-skin which can be now processed further, or cured for preservation.
(575757):q6g4:[_]{0412060F}      | You could have done better, but can't make good out of bad.
(143270):q6g4:[#]{0412060F}      | Using: HIDEWORKING
(143270):q6g4:[#]{0412060F}      | Hidework option: Tan the skin
(143270):q6g4:[#]{0412060F}      | Tanning process now requires you to apply tanning material.
(147870):q6g4:[?]{0412060F}      | (1) You need 0.35 Lbs of water.
(000000):q6g4:[T]{0412060F}      | There is plenty of water nearby.
(147870):q6g4:[?]{0412060F}      | (2) You need 0.07 Lbs of tanning material.
(575757):q6g4:[_]{0412060F}      | (Either alder/willow bark (peeled by using timbercraft skill) or animal fat can be used as a tanning material.)
(000000):q6g4:[O]{0412060F}      | Ok, you have all the necessary equipment!
(143270):q6g4:[#]{0412060F}      | You start to rub the tanning material on the skin.
(143270):q6g4:[#]{0412060F}      | The skin is now left alone for the tanning material to get working.
(575757):q6g4:[_]{0412060F}      | This step is complete in a few hours. After that, continue tanning the skin until the whole process is finished off.
(143270):q6g4:[#]{0412060F}      | You see a roach here.
(143270):q6g4:[#]{0412060F}      | You see a burnt-out fire here.
(143270):q6g4:[#]{0412060F}      | You see an inferior raft here.
(3C5A98):q6g4:[:]{0412060F}      | You push the raft into water and jump aboard.
(663333):q6g4:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):q6g5:[:]{04120610}      | You feel warm.
(3C5A98):q6g6:[:]{04120610}      | It starts to rain.
(3C5A98):q6g6:[:]{04120610}      | You feel warm.
(008000):q6g6:[=@]{04120610}     | You caught a pike and 3 roaches!
(575757):q6g6:[_]{04120610}      | The catch now awaits at your feet to be picked up.
(3C5A98):q6g6:[:]{04120610}      | You pick up the pike.
(3C5A98):q6g6:[:]{04120610}      | You pick up the 3 roaches.
(663333):q6g6:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(000000):q6g6:[Y]{04120610}      | You hear goldeneye calling in the south-west.
(000000):q6g6:[Y]{04120610}      | You hear mallard calling in the north-west.
(3C5A98):q6g7:[:]{04120610}      | The rain ends.
(3C5A98):q6g7:[:]{04120610}      | You feel warm.
(000000):q6g7:[Y]{04120610}      | You hear mallard calling in the west.
(000000):q6g7:[Y]{04120610}      | You hear goldeneye calling in the south-west.
(3C5A98):q6g8:[:]{04120610}      | It starts to rain.
(3C5A98):q6g8:[:]{04120610}      | You are feeling rather warm.
(000000):q6g8:[Y]{04120610}      | You didn't manage to catch any fish.
(000000):q6g8:[I]{04120610}      | It's very tasty.
(3C5A98):q6g8:[:]{04120610}      | You finish eating the tasty roasted burbot.
(000000):q6g8:[I]{04120610}      | It's plain good roasted burbot.
(008000):q6g8:[=]{04120610}      | Burp! Your stomach is full.
(3C5A98):q6g8:[:]{04120610}      | You finish eating some of that roasted burbot.
(663333):q6g8:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(000000):q6g8:[Y]{04120610}      | You hear rustle of wings from the north.
(3C5A98):q6g9:[:]{04120610}      | The rain ends.
(3C5A98):q6g9:[:]{04120610}      | You are feeling rather warm.
(000000):q6ga:[Y]{04120610}      | You didn't manage to catch any fish.
(000000):q6ga:[I]{04120610}      | It's plain good roasted burbot.
(008000):q6ga:[=]{04120610}      | Burp! Your stomach is full.
(3C5A98):q6ga:[:]{04120610}      | You finish eating the roasted burbot.
(147870):q6ga:[?]{04120610}      | Drink from the natural source?
(3C5A98):q6ga:[:]{04120610}      | You drink some water.
(008000):q6ga:[=]{04120610}      | Your thirst is extinguished.
(663333):q6ga:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):q6gb:[:]{04120610}      | You are feeling rather warm.
(008000):q6gb:[=@]{04120610}     | You caught 6 breams!
(575757):q6gb:[_]{04120610}      | The catch now awaits at your feet to be picked up.
(3C5A98):q6gb:[:]{04120610}      | You pick up the 6 breams.
(663333):q6gb:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):q6gc:[:]{04120610}      | You are feeling rather warm.
(000000):q6ge:[Y]{04120610}      | You didn't manage to catch any fish.
(663333):q6ge:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(000000):q6ge:[Y]{04120610}      | You hear willow grouse cooing in the north-east.
(000000):q6ge:[Y]{04120610}      | You hear kuikka calling in the south-east.
(3C5A98):q6gf:[:]{04120610}      | You are feeling rather warm.
(000000):q6gf:[Y]{04120610}      | You hear mallard calling in the north-west.
(3C5A98):q6gg:[:]{04120610}      | You are feeling rather warm.
(000000):q6gg:[Y]{04120610}      | You didn't manage to catch any fish.
(000000):q6gg:[I]{04120610}      | It's plain good roasted burbot.
(008000):q6gg:[=]{04120610}      | Burp! Your stomach is full.
(3C5A98):q6gg:[:]{04120610}      | You finish eating some of that roasted burbot.
(147870):q6gg:[?]{04120610}      | Drink from the natural source?
(3C5A98):q6gg:[:]{04120610}      | You drink some water.
(008000):q6gg:[=]{04120610}      | Your thirst is extinguished.
(663333):q6gg:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):q6gh:[:]{04120610}      | You are feeling rather warm.
(008000):q6gi:[=@]{04120610}     | You caught 3 burbots, 2 roaches and a bream!
(575757):q6gi:[_]{04120610}      | The catch now awaits at your feet to be picked up.
(A80000):q6gi:[!]{04120610}      | You need to sleep! You can't stay awake much longer.
(3C5A98):q6gi:[:]{04120610}      | You pick up the 3 burbots.
(3C5A98):q6gi:[:]{04120610}      | You pick up the 2 roaches.
(3C5A98):q6gi:[:]{04120610}      | You pick up the bream.
(663333):q6gi:[&]{04120610}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):q6gj:[:]{04120610}      | You are feeling rather warm.
(000000):q6gk:[Y]{04120610}      | You hear kuikka calling in the south-east.
(000000):q6gk:[Y]{04120610}      | You didn't manage to catch any fish.
(3C5A98):q6gk:[:]{04120610}      | You are too tired to stay on your feet.
(000000):q6gk:[I]{04120610}      | It's plain good roasted burbot.
(3C5A98):q6gk:[:]{04120610}      | You finish eating the roasted burbot.
(000000):q6gk:[T]{04120610}      | That's bland.
(008000):q6gk:[=]{04120610}      | Burp! Your stomach is full.
(3C5A98):q6gk:[:]{04120610}      | You finish eating some of that roasted burbot.
(3C5A98):q6gk:[:]{0412060F}      | You go on shore.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see a rock here.
(143270):q6gk:[#]{0412060F}      | Using: TRAPPING
(143270):q6gk:[#]{0412060F}      | TRAPS: Bait a trap
(AB5700):q6gk:[+]{0412060F}      | Ok. The bait has been set.
(000000):q6gk:[(]{0412060F}      | (Simply throwing or pushing a bait on the trap works also)
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see a patch of 3 growing whimsical grasses here.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see a patch of 3 growing whimsical grasses here.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see a rock here.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see 3 fox cuts here.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | There are several objects here:
(000000):q6gk:[p]{0412060F}      | poor wooden shovel
(000000):q6gk:[b]{0412060F}      | bark
(000000):q6gk:[h]{0412060F}      | harsh eagle owl leather
(000000):q6gk:[3]{0412060F}      | 31 eagle owl feathers
(000000):q6gk:[h]{0412060F}      | harsh elk leather
(575757):q6gk:[_]{0412060F}      | ...and 12 more.
(000000):q6gk:[Y]{0412060F}      | You hear a creature barking in hunger in the west.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(000000):q6gk:[S]{0412060F}      | Small Rig eats roach.
(000000):q6gk:[Y]{0412060F}      | You hear rustle of wings from the south-west.
(143270):q6gk:[#]{0412060F}      | View what type of items?: Foods
(3C5A98):q6gk:[:]{0412060F}      | You drop the pike.
(3C5A98):q6gk:[:]{0412060F}      | You drop the 7 breams.
(3C5A98):q6gk:[:]{0412060F}      | You drop the 3 burbots.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | There are several objects here:
(000000):q6gk:[p]{0412060F}      | poor wooden shovel
(000000):q6gk:[b]{0412060F}      | bark
(000000):q6gk:[h]{0412060F}      | harsh eagle owl leather
(000000):q6gk:[3]{0412060F}      | 31 eagle owl feathers
(000000):q6gk:[h]{0412060F}      | harsh elk leather
(575757):q6gk:[_]{0412060F}      | ...and 12 more.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | View what type of items?: Foods
(3C5A98):q6gk:[:]{0412060F}      | You drop the 2 roaches.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(000000):q6gk:[Y]{0412060F}      | You hear rustle of wings from the south-east.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(000000):q6gk:[Y]{0412060F}      | You hear rustle of wings from the south-east.
(3C5A98):q6gk:[:]{0412060F}      | You crawl.
(143270):q6gk:[#]{0412060F}      | You see a harsh tanning fox-skin here.
(3C5A98):q6gk:[:]{0412060F}      | You pick up the harsh tanning fox-skin.
(143270):q6gk:[#]{0412060F}      | Using: HIDEWORKING
(143270):q6gk:[#]{0412060F}      | Hidework option: Tan the skin
(143270):q6gk:[#]{0412060F}      | Tanning process now requires you to rinse and dry the skin.
(147870):q6gk:[?]{0412060F}      | (1) You need 0.35 Lbs of water.
(000000):q6gk:[T]{0412060F}      | There is plenty of water nearby.
(000000):q6gk:[O]{0412060F}      | Ok, you have all the necessary equipment!
(143270):q6gk:[#]{0412060F}      | You scrape off the tanning mixture and rinse the skin clean.
(000000):q6gk:[Y]{0412060F}      | You hear goldeneye calling in the south-east.
(3C5A98):q6gl:[:]{0412060F}      | You are feeling rather warm.
(143270):q6gl:[#]{0412060F}      | The skin is now left to hang until it's dry enough to continue tanning.
(575757):q6gl:[_]{0412060F}      | This step is complete in a few hours. After that, continue tanning the skin until the whole process is finished off.
(575757):q6gl:[_]{0412060F}      | You could have done better, but can't make good out of bad.
(A80000):q6gl:[!]{0412060F}      | You need to sleep! You can't stay awake much longer.
(3C5A98):q6gl:[:]{0412060F}      | You crawl.
(143270):q6gl:[#]{0412060F}      | Things that are here:
(000000):q6gl:[r]{0412060F}      | rock
(000000):q6gl:[t]{0412060F}      | tree trunk
(3C5A98):q6gl:[:]{0412060F}      | You crawl.
(143270):q6gl:[#]{0412060F}      | You see a harsh rinsed fox-skin (being prepared) here.
(3C5A98):q6gl:[:]{0412060F}      | You crawl.
(143270):q6gl:[#]{0412060F}      | Things that are here:
(000000):q6gl:[2]{0412060F}      | 2 roaches
(000000):q6gl:[2]{0412060F}      | 2 roaches
(3C5A98):q6gl:[:]{0412060F}      | You crawl.
(143270):q6gl:[#]{0412060F}      | There are several objects here:
(000000):q6gl:[p]{0412060F}      | poor wooden shovel
(000000):q6gl:[b]{0412060F}      | bark
(000000):q6gl:[h]{0412060F}      | harsh eagle owl leather
(000000):q6gl:[3]{0412060F}      | 31 eagle owl feathers
(000000):q6gl:[h]{0412060F}      | harsh elk leather
(575757):q6gl:[_]{0412060F}      | ...and 12 more.
(3C5A98):q6gl:[:]{0412060F}      | You crawl.
(147870):q6gl:[?]{04120610}      | Drink from the natural source?
(3C5A98):q6gl:[:]{04120610}      | You drink some water.
(008000):q6gl:[=]{04120610}      | Your thirst is extinguished.
(3C5A98):q6gl:[:]{04120610}      | You crawl.
(143270):q6gl:[#]{0412060F}      | There are several objects here:
(000000):q6gl:[p]{0412060F}      | poor wooden shovel
(000000):q6gl:[b]{0412060F}      | bark
(000000):q6gl:[h]{0412060F}      | harsh eagle owl leather
(000000):q6gl:[3]{0412060F}      | 31 eagle owl feathers
(000000):q6gl:[h]{0412060F}      | harsh elk leather
(575757):q6gl:[_]{0412060F}      | ...and 12 more.
(3C5A98):q6gl:[:]{0412060F}      | You lay down and fall asleep.
(143270):q6gl:[#]{0412060F}      | Zzzz... [HOLD ON]
(3C5A98):r6g8:[:]{0412060F}      | You wake up.
(663333):r6g8:[&]{0412060F}      | You get back on your feet.
(3C5A98):r6g9:[:]{0412060F}      | You are feeling rather warm.
(663333):r6g9:[&]{0412060F}      | You are a bit hungry.
(663333):r6g9:[&]{0412060F}      | You are a bit thirsty.
(000000):r6g9:[T]{0412060F}      | That's bland.
